辨識碼,卦序,卦名,組成,卦名白話翻譯,卦名解釋,卦辭,卦辭白話解釋,建議,運勢,愛情,考試,求職
211122,31,咸,澤山,合和。,表感動也。主吉象。感，有如青春男女，清純無暇的感情，心心相印有感而發的情感，得此卦，與感情有非常大的關係。也可引伸為對一種理念的認同和欣賞。咸，並無利慾的情色糾葛，是屬於比較「感性的」一種感覺。對男女之間的感情，是最大的吉象。,咸，亨，利貞，取女吉。,有感情，亨通，利於貞定。娶女吉。,如何正確使用感情來處世？這是卜得咸卦所需注意的基本問題。虛心傾聽，取得他人共鳴，那麼事情自然可成。但若感情用事，濫情而不守禮法，則大凶。,吉祥如意。但勿為不正當的感情而意亂迷惑，或過於衝動。然得此卦時，會有男貪女愛之箏，非名正者必遭損，宜慎之。,互敬互愛，清清白白者定成眷偶。若名不順而貪愛者，當知懸崖勒馬。,成績佳。,皆能如意得償。
221112,32,恆,雷風,要有恆心。,表維持不變的跡象。主是個狀況卦，吉凶未定。顯示一種會持續很長久的一種狀況。好的或壞的情形，都將會再持續下去。事業投資、感情婚姻都不宜在此時做任何的計畫或變動。,恒亨，?咎，利貞，利有攸往。,恒久而亨通，沒有罪咎。利於貞定，利有所往。,如果你想要的就是穩定，那麼這就是一個大吉之卦；但如果你所想要的是挑戰與成長，那麼這是一個潛藏未來成長障礙的卦。因為過於穩定，將會缺乏變化與創新。,諸事亨通而沒有犯錯方能恆久。其象利於正常固守，並須有毅力持行。雷風者，知守常則吉，妄動者則不能亨通。,順利如意，有美好結果。,高分紀錄。,向東南有利。
111122,33,遯,天山,隱居退守。,表退守、退步之意。主凶象。一切事項均需停止下來，因其中可能有小人、或障礙、陰謀在破壞中。退另有表示退步之意，功課、事業，均不再如同往常般的成績了！,遯亨，小利貞。,逃離而亨通，小人利於守正。,小人得勢的時候，不要想著功成名就，凡事躲得越快越遠越好；功成不居，急流勇退，隱居深山，是最好的去處。,小人道長，君子須遠離小人，諸事宜守。艮者，止也，言行物事要謹慎，才能得安而運泰。若遇小人之害，見陷於是非之地，勿管閒事，識時務為俊傑。,落花有意，流水無情，適時地另外選擇其他對象吧！,不理想。,須待時機。
221111,34,大壯,雷天,聲勢浩蕩。,表天上打雷、聲勢浩大，行動迅速、積極之象。此卦一般以吉處藏凶來論。因為對人、對事最忌衝動。此卦有過於不理性衝動之象，容易犯錯。尤其有血光之禍，被人毆打、傷害之意。得此卦，凡事再三思為吉。,大壯，利貞。,非常壯盛，利於貞定。,理直氣壯、據理力爭有時雖有必要，但卻很可能因此造成不必要的傷害。凡事應當多點冷靜審察情勢，不要莽撞，就能夠避免不必要的錯誤與災難。,剛強過盛者，若不思正與順，則有躁動之害耳。雖運勢強大，時至當盛之期，但忌血氣方剛。處事欠思慮而遭破運，宜力持和平、順氣，勿得罪人，否則會因此而招來失敗，切勿貪妄。,有成就，但缺乏仁和謙恭，易遭反悔，須慎之。,有好成績，但勿太驕傲。,可順利。勿太剛強行事。
121222,35,晉,火地,很明白，很明亮。,表進取也。主吉象。火為太陽，所以是「日出於大地、光明乍現」，陽光準備要照耀大地，一片欣欣向榮之象。事業投資、升遷、婚姻、感情均是有雨過天晴，奮發向上的吉象。,晉，康侯用錫馬蕃庶，晝日三接。,晉升，康侯受到賞賜的馬匹眾多，白天就三次受到接見。此言因功而受到周王賞賜與重用，不停的接見。,除了卜問感情，晉是一個大吉之卦，聰明才智會受到肯定。卜問生意與財運也都能有所斬獲。,事業繁榮，聲譽漸高，於人、事、物均獲宏利之際，與人共事者吉。但要知進德虛懷，即是諸凡對人、事宜謹守德操，不可傲溢心懷，否則有破象也。但財運旺。,光明出於地上。柔順而求，可成眷屬。,科甲登榜。,受人提拔，可有成就。
222121,36,明夷,地火,渾沌不明。,表火入坑中，陽氣被陰氣所傷害，被小人所重傷。主大凶象。諸事不宜，運最背之時。,明夷，利艱貞。,光明隕落消失，利於艱苦與貞定。,局勢混亂，求財求事皆無成，不要想著功成名就，應當以明哲保身、求取生存為第一要務。,逆勢下降，時運未濟，物事勞苦，逢小人加害，光明受到掩蔽而失光明，所以多艱難之運也。有萬事阻滯，遇事迷惑、受災。故宜守貞固之道，忍耐自重，等待時機。,有被背叛拋棄之象，未能被對方接受，不成也，而且受傷很深重。,無望。,日下無希望，須再待時，需防被騙、失財、失身。
112121,37,家人,風火,家人離散，吉中帶凶。,表同為一家人。主小吉之象。事事以家人為重之意，如事業投資均需一家人合作共事為佳。感情，為成家之吉象。,家人，利女貞。,家人，利於女子的貞定。,凡事應當優先反躬自省，處理好自己的份內事、家務事，處理好了一切問題都可迎刃而解。,平安無事，且有喜事之象，與家人共事者大利。,有情人終成眷屬。,上榜有名。,有良好機會，勿失。
121211,38,睽,火澤,防小人。,表乖危、叛逆、背離之象。主凶象。意見不合，彼此爭鬥、任性、不協調。事事均不順，且有被出賣的危險，注意犯小人。,睽，小事吉。,小事吉，大事則因人心違和，缺乏團隊合作而難成。,人與人之間意見不和並不見得是壞事，如何包容異己，同中存異，和而不同，讓「不同」不變成「不和」是卜卜得睽卦該學習的智慧。,水火不相容，則氣運不通，勢行低落，諸事難成。凡事有違叛之時，若能處變不驚，不逞強出頭，尚可轉危為安。有家內不和，親友疏散之情。宜力持溫和，忍耐去克服困難，始可渡危。,彼此間無意向，無望也。,落榜。,無希望。
212122,39,蹇,水山,跛足，執行困難。,表寒足之意。主凶象，四大難卦第三卦。冰天雪地中赤足而行，表示現在處境多麼的艱辛困苦，卻又不能放守不管，只能硬撐到底。此時雖是無奈，但也總有苦盡甘來的時刻。人事均很為難之時，事業、感情均有騎虎難下的困境。,蹇，利西南，不利東北。利見大人，貞吉。,難行，利於西南方，不利東北方。利於見大人。貞定為吉。,"	諸事不宜，強行則有危險。知難而退，回家修練，等待機會，是蹇卦的最佳策略。",衰運，多災難，進退兩難之處境，要自重而不可妄動，此時應守正道待時也。凡事雜亂，更防小人之害，絕不可涉險境，否則災害必至。,困境重重，情緣有破，捨棄難定之際。然此卦主破象。,落榜。,眼前毫無希望。
221212,40,解,雷水,解凍。,表解決之象。主凶帶小吉之象。冬雪春化之意。冰凍三尺非一日之寒，事出有因、但已是到該解決的盡頭了！只是化解之日還很長，要抓住重點方向，好好努力堅持下去，還是有可能再成功的。,解，利西南，?所往，其來復吉。有攸往，夙吉。,危險緩解，利於西南方。若是沒有要去那裡，那麼快快回家為吉。若是要去什麼地方，趕早則吉。,"	凡事要積極主動，遇到任何事情，不要拖延，馬上解決則吉。若有出行，則盡早出發為宜。",順勢而行，速把握良機、堅持努力，快速處理可成。貴人在遠方，有助，宜出外營謀。大運在西南。,不用猶豫，堅持可成。,題榜在望小成。,有貴人相助。
122211,41,損,山澤,有所損害、損失。,表小有損失也。主凶中帶吉之象。「賽翁失馬、焉之非福！」是此卦最好的解釋。投資、事業、借貸、感情皆是失意不順之時，然對事要有信心，學得經驗將可得到更好的結果。若將要投資則不可。,損，有孚，元吉，?咎可貞，利有攸往。曷之用，二簋可用享。,減損，有誠信，則元吉；沒有罪咎而可以貞定，利有所往。要用什麼來供奉祭祀？簡單兩個盤子的食物就可了。,損並不是一般人常識中認為的「損失」，是一個壞卦。反而是「元吉」且「利有攸往」──所以其實損卦是個還算不錯的卦，只要你眼光放遠，願意暫時小小犧牲一下。,諸事不如意，若傾於利慾不當之心則有災，散財之損。必須能夠悟其所損，方能挽回局勢。與人共事商量則可收損失之象。,以誠信可以成功，可得良緣，但此卦女者卜得有較大的損失。,多努力，榜上可題名。,可慢慢受重用。
112221,42,益,風雷,有利益，有好處。,表利益、好處。是由上對下的一種好的給于。主吉象。對事業投資都有相當的幫助，可得貴人來相助、扶持。,益，利有攸往，利涉大川。,攸，遠，或所。利有攸往即利有遠往，或利有所往，就是利於出行、利於遠行的意思。也可解釋為利益有遠往，即有長遠的利益。,此卦雖吉，但屬於長遠性的利益。凡事必需努力上進，特別要設法增加自己的優點與技能。,乘盛吉之運，可得他人之助而諸事順暢，家業有成。大致吉利之運也。,相成相益，可成良緣。,成績優良，父母有喜悅之象。,大好時機，勿錯過。
211111,43,夬,澤天,決、缺。,表決定或缺失。是個狀況卦，吉凶未定。所遲疑的事情，一定要有個決定不能再拖延，至於如何決定，可視變卦而定。否則在有所拖延，就成凶象了！,夬，揚于王庭，孚號有厲。告自邑，不利即戎，利有攸往。,處決，大肆張揚地在君王的大庭上舉行，即使是以誠信號令大眾，仍不免於有危險。要以告誡的方式來治理自己的城邑，不適合動用武力，如此則有長遠的利益。,內心固然要果決，但手段則要委婉。在上位者要能夠施惠於下則可得人心。,日前雖然鴻運當頭，終會遇到困難與危險，凡事不可輕舉妄動，宜隨時警惕自己，留心意外災害。住所可能會有變動，亦有文書、契約之失利，易生錯誤。慎勿傲氣或自以為是，不謙和者定有災。,男人不專情之象，乃孽緣也。,不理想。,有困難，或得不到好職位。
111112,44,姤,天風,二女爭一男,表邂逅、不其而遇，非預想中的事情來發生。主是個狀況卦，吉凶未定。逅，會帶來意外之喜、也會帶來意外之災，需視動爻變卦吉凶來論斷。而「姤」意，卜感情通常是有其他的感情發生的跡象、與情色非常有關係。,姤，女壯，勿用取女。,邂逅偶遇，女人強悍，不能娶女。,既然是「邂逅」，如若有什麼好事，也只是一時的運氣，不應當因此做長久之計。又姤卦是屬於女人的卦，男性諸事不宜，或者必需聽命於女子。女子則可掌控局面。,陰長陽衰，男人傾防因色受禍，諸事不如意，不能上進，沉於女色之凶象也。凡事進取宜慎重。,男女對象均不理想，有第三者出現，因而徒勞無功，會離散。,不理想。,難成。
211222,45,萃,澤地,人才聚集。,表精華聚集之意。主吉中帶小凶之狀況卦。有經過挑選、或是在因緣際會下，而重新再一起共事的意義。事業公司，可能人事有需要再重新安排挑選過。,萃，亨，王假有廟。利見大人，亨，利貞，用大牲吉，利有攸往。,集會，君王來到宗廟。利於見大人，亨通。利於貞定，使用大的牲禮，吉。有長遠的利益。,萃卦最適於「聚集人氣」一類的事務，若可行的會，集合眾人之力也是解決事情的很好方法。,昌隆，得信於人，承上輩照顧，事業吉昌，但宜小心財務上的糾紛。,可達成其願望。,常保佳績。,可順利，有成就。
222112,46,升,地風,逐漸高升。,表一種情勢有如乘風而起，會越來越旺。主是個狀況卦，吉凶未定。有點偏小吉。尤其是在氣運的轉變中，將會顯現得很明顯。此時可以做一些計畫，但還尚不可執行。,升，元亨，用見大人，勿恤，南征吉。,上升，大亨通，以此去見大人，不必憂慮，往南征戰，吉。,成長原本就是緩慢而需要時間的，但只要耐心等候，有朝一日一定可成。若能找到貴人相助，也可加快事情的進展。,諸事向上發展，開運之象，南方有吉慶，可名利雙收也。,不宜過急，慢慢追求可成。,進步。進取有利。,有利。
211212,47,困,澤水,被困住。,表很大的困難被困住了。主大凶象。四大難卦第四卦。四處無援，最困難之時。事事恨難再有進展，只好靜待時機，是此時最好的選擇。,困，亨，貞，大人吉，?咎，有言不信。,窮困而亨通，貞定，大人則吉，沒有罪咎。這時候所說的話無法讓人相信。,所謂「窮則變，變則通」，處困卦應當堅守節操，謹言慎行，然後才能夠窮中求通。這時不只言多必失，也很可能引來羞辱。所以凡事應當多做少說。,不如意，被小人欺，勞而無功，破損之災。一事難成，運衰也。宜守己待時。,失敗之象，難成氣候。,不理想。,不得時亦不得意，再待時機。
212112,48,井,水風,井底之蛙。,表小水之源，有格局小卻能過活之心態。主小吉象。井水雖不能種植、畜養，卻能養人度日，顯示心力之有限，不能做太大的計畫。也另表示視野沒有很寬廣，比較短視，保守心態重。,井，改邑不改井，?喪?得，往來井井。汔至，亦未繘井，羸其瓶，凶。,水井，遷移村邑但不會遷移水井，井水原本取之不竭，不會變少也不會變多，大家無不來來往往的取用井水。但現在水井乾涸無水了，還來不及取得井水，又打破了儲水的瓶子，凶。,井道重在自清，水清則人群至，德善則人心服。因此凡事應多反躬自省，修養自己的內涵。最怕急功近利，往往災害由此而生。,缺乏衡力，因井為靜而不能移之物。故凡事已無法進取，不如守之泰然。,任其自然發展，但情況不怎麼好，有破裂之相。,尚可。,安於本份，換新的工作也是小工作。
211121,49,革,澤火,革舊佈新。,表該改革、革新之時候了！主是個狀況卦，吉凶未定。事事情況雖不穩定、明朗，但只要有心改變，重新再來則成功機會大。一切不可固執不化、不變通。,革，已日乃孚，元亨，利貞，悔亡。,變革，天命來臨之日，才能取信於民。大亨通，利於貞定，不再後悔。,洗心革面為吉，如果自己不革新，守舊不變，等著別人來改變，那就會變成革命。,不穩定，多變化之際，凡事均有所變動，故需棄腐朽而立新者，宜下決心改革。但仍須謹慎改革之道，善改則吉，惡改則凶。,去者已矣。凡事均有新的開始，迎新為宜。,越來越好。,不可守舊，改變職事有利之時機也。宜速把握良機。
121112,50,鼎,火風,極為旺盛。,表三足而立，三人而行，平穩之勢。另表拜神、禮佛的香爐。主吉象。事業投資應與人合夥為佳，諸事可在平穩中發展。唯對感情、婚姻略有凶象，出現三人行的機率很高，有外遇出軌的跡象。只是大家會很理智的來尋求解決。,鼎，元吉，亨。,鼎卦為改正朔，建立新朝代，因此《象》曰「君子以正位凝命」，君子用以確立地位，堅定天命。凝通冰，水變堅硬，結冰。引申為成、定。凝命，完成天命，天命確定。,鼎卦雖然諸事大吉，但是吉道在於養賢、創新，與耳聰目明，最怕者就是守舊不變。,能解決困難，取得事物之穩定而名利雙收，會有不錯的成就，最好新找外人來共事、合夥。,吉中帶凶，外表平穩順利，可能另有第三者的介入，且在暗中發展不易被發現，需小心或心裡有準備。,登科上榜。,大利。有上輩提拔。
221221,51,震,雷,受驚，害怕。,表奮發、震動有衝動不安穩的現象。六沖純卦，主大好大壞之卦象。此卦要注意意外血光，有被驚嚇之情形發生。運動比賽可為吉論。雷通常表示，聲勢浩大，卻是有聲無形虛象之意。與人交往最忌此卦，表面熱心卻只是虛應一番，無誠心，不能用真誠來對待，否則會很失望。,震亨，震來虩虩，笑言啞啞。震驚百里，不喪匕鬯。,震動，亨通。震動之來讓人害怕驚呼，但後來笑顏逐開。震動驚動百里之遠，祭祀的器物不會喪失。,面對變動若能因為恐懼而有所警惕，謹慎處事，則有驚無險，因此而得福。反之，若對變動麻木不仁，則可能有後來的災害。,表面似盛泰，但正處於多事之秋，宜慎重，勿自視過高，無益也。有動盪、不安、驚懼之象耳。,有虛無實，是非、外語雜多。,可榜登科甲。,不利。
122122,52,艮,山,不動，自己改變。,表停止、退守之意。六沖純卦。主大好大壞之象。凡事應當知進退、量力而為。有如登山越嶺般，需充分審視自己的體能，和山上的情勢，絕不可強行逞能，適時的休息，方能平安度過。得此卦時應有大事或障礙、不順阻擋在前，若能保守、修身養性則安，反則為凶。,艮其背，不獲其身。行其庭，不見其人，?咎。,回頭看到他的背，但卻追不到他的人。即使進入了他家庭院，還是見不到人。沒有罪咎。,應當停止的時候就停止，千萬不要輕舉妄動。守住本份，求得不犯錯，是處艮卦的最佳策略。,應當潔身自愛，依賴心不要太重，否則不利。凡事不可輕舉妄動，諸事宜守，相輔得吉。儒家有言:『靜亦定，動亦定』，此非言死等，宜中正德行，固守貞常之道，凡事有定之理也。,有對峙、單戀、難合之勢，雙方各有阻撓也。,落榜。,固守本份為宜。
112122,53,漸,風山,逐漸好轉。,表循序漸進，不可心急之意。主吉象。好事慢慢在進行中，一切遵循正裡常規即可，事業投資均能有收益。感情婚姻，更是結果收成歡喜結局之時。,漸，女歸吉，利貞。,漸進，女子嫁人吉，利於貞定。,"	忌走捷逕，不能躁進。依禮法而行，循序漸進，則諸事大吉。",逐漸順利，光明開運之象。凡事物務必掌握時機，循序漸進，可得吉慶。須防款項交易之差錯及色情之災。,慢慢交往可成就良緣。但此卦有女子思男或已入男家，未能得男方家長同意者，但有心中能成良緣。,成績有進步。,可尋得良好工作。
221211,54,歸妹,雷澤,游魂卦、精神恍惚。,表小妹急著先出嫁，為感情衝動、不理智之象。主小吉帶凶。得此卦投資、升遷、合夥，大概與男女之間的感情用事，會有很大的關連。感情，第三者積極介入之象，或是自己一廂情願衝動的妄想。,歸妹，征凶，?攸利。,嫁女兒，出征凶，無所利。,凡事要特別注意不要感情用事，注意法律、輿論等風險。,禍出百端，事物有違常理。初時有悅，不久反凶，禍害隨至。,孽緣，必以悲劇收場。,有重新再讀一年之況。,放棄算了，再另做打算。
221121,55,豐,雷火,豐富，豐收。,表豐收之象。主吉中帶小凶之象。凡事積極奮發可成，有興致高昂，一時天雷勾動地火，閃電迅速達成之意，此卦最利於短期投資理財，感情則可情投意合而速成。,豐亨，王假之，勿憂，宜日中。,豐富盛大，亨通，大王親自蒞臨，不要擔憂，事情適於在日正當中的時候進行。,凡事都適宜盛大舉行，讓它眾人皆知。事情可以打鐵趁熱，順勢推舟。,豐者必有所得，明智者宜於最全盛有收穫時，保身明哲。然人多貪而不厭，於滿足，而挺險圖利，終有悔。尤其應注意有訴訟之事，有損財或火災之象。,熾情，好動，情可成。若得意忘形則有失。,及格有望。,有利。職務工作變動大，或外務之類。
121122,56,旅,火山,在火山口旅遊，非常危險。,表旅行、不定、不安穩之意。主小凶帶小吉之象。旅行者常居無定所。表示事事皆在浮動之中，雖不現凶象，但也是很令人煩心的。投資理財、感情、婚姻，大慨都是遊戲的心態吧！,旅，小亨，旅貞吉。,旅，小亨通。旅，貞定為吉。,行旅在外行事應低調，聰明於內，謹慎於外，守靜為宜。,諸事不定，宜考量他人之意見。潔身自愛，始可改變厄運，否則必有凶。,不穩定、遊戲心態重，宜以平常心看之，不能太重視。,很差。,白費心神。
112112,57,巽,風,粗暴。,表不定之象，時柔順、時狂暴。六沖純卦，主大好大壞之象。不易控制的局面，包括人、事、感情、投資，都是令人很難去掌控的、會有波折和變化。,巽，小亨，利有攸往，利見大人。,巽，小亨通，利有所往，利於見大人。,事緩則圓，凡事柔順以對，慢慢進行，都可成功。但小事可成，大事凶。宜找貴人。 做任何事都要記得不厭其煩的再三叮嚀。,此卦象徵多波折，游離不定之運也。此時要處理不驚，堅定意志，物事果斷而隨機應變，不必一味跟從順行。待人接物宜心平氣和，則可得意外之收穫。切記狂風之下必有所損。,要冷靜。風若和，日必麗。風若凝聚，可知暴風雨將至，終身大事不可不慎。時好時壞，把戲真不少，均輕飄不實也。,宜多用功。,不能達到理想，可隨機應變。
211211,58,兌,兌,喜悅，高興。,表少女純真喜悅之象。卻在純真之中帶有嬌蠻、任性的態度。六沖卦象，大好大壞。憂喜參半！,兌，亨，利貞。,面對面溝通以說服他，亨通，利於堅定。,喜悅是趨動人前進的很大力量，若能善加利用則人冒死也會為其效勞。兌卦又有講習之象，能夠與人相互切磋，當有所得。,有喜亦有憂，有譽亦有譏，雖得吉慶如意，然應守持正道，否則犯災。,有嬌蠻、任性鬥嘴之象，切勿意氣用事，因此卦內剛，定會有口舌，隨和相處可吉。有如兩小無猜的純純感情般。,成績佳。,得利，但亦不可太大意。
112212,59,渙,風水,煥然一新，渙散。,表渙散之象。主凶象。心神不寧、精神不佳，人事向心力均已離散，有頹廢不振的運勢。事業、感情、婚姻根基開始有鬆動的情勢產生。人的心緒、沈悶是最大的影響。若能穩定情緒、定下心神，應會再恢復以往的神采風光。,渙，亨，王假有廟，利涉大川，利貞。,大美，亨通，大王來到了宗廟。利於渡大河，利於貞定。,危險可化解。但凡事若要成功，則較為困難，問題在於人心過於渙散。如果能夠對此對症下藥，得以小有成就。,初有小損，但終可解困而心悅，凡事小心則百事亨通，任性放縱必敗。遠方物事吉利，但宜守其常。,因有一些小障礙，而可能會造成離散之象，外在因素，情緣仍在，有可能在復合。,尚可，宜再加油。,雖有挫折，但可成。宜耐心。
212211,60,節,水澤,節制，節約。,表節制之象。主是個狀況卦，吉凶未定之象。卦中所現，提醒卜卦之人，事事有過於放縱之象，尤其是在金錢方面，投資理財需節制有守為安。感情則要多留意自己的言行舉止，已有過份之態或對對方過於放縱之勢。,節，亨，苦節不可貞。,節制，亨通。但辛苦的節制不可以堅持。,節制不夠會散亂，節制太過則成苦節、吝嗇，而走向窮困。因此要注意如何取得平衡與中庸，而長遠來說，最好的節制方法還是建立制度。,以和悅之心去渡過險境，則可克難而出險道。而悅者何苦惱，陷者有悅象，故此時需要有節制為宜。,是否成就，須看自己之節制之品德，因得此卦，若女者對感情堅貞而不隨便者，可吉也，否則破。,須力求上進，不可怠忽。榜尾有名。,再待時機，成功率小。
112211,61,中孚,風澤,得人緣，孚眾望。,表誠信、實在。主吉象。若為人處事一切以誠信為重，則事事皆可順利而行。,中孚，豚魚吉，利涉大川，利貞。,內心虔誠，以豬和魚當祭品雖簡單，但吉。利於涉水渡大河，利於貞定。,中孚也是一個化險為夷之卦，吉道在於虛心、誠實，信譽。只有誠信才能真的感動人、說服人，而助你渡過危險。,如三月之春花，似錦大地，與人謀事均得利。誠者，立業之本也，若存邪曲之念則破吉運，須認清善惡。得此卦誠者佳，尤利他鄉財路。,雙方以誠相待，良緣也。,必定上榜。,有利。
221122,62,小過,小過,稍有過失。,表有志難伸、龍困淺灘，像犯了一個小的過錯般，而被處罰。主凶象。事事小有不順，有被打壓的跡象，最忌衝動犯上，必因此而埋下禍端。需沈潛、忍耐一段時間才能再有發揮的機運。,小過，亨，利貞，可小事，不可大事。飛鳥遺之音，不宜上，宜下，大吉。,小事要做得超過，亨通，利於貞定，可以做小事，不可以做大事。傳來飛鳥哀鳴的聲音，不適宜往上飛，適於往下找棲息之所，往下則大吉。,得小過卦有如在躲獵人的小鳥，靜靜不動反而是最安全的，若要動，則往樹底下、草叢中躲為吉，如果想要往上飛以逃脫獵人的追補，反而大凶。,行事不如意，宜謹守，與六親不和之象。又忠言逆耳犯上得罪人之事，反為害己之因，故凡諸事均有枝節、苦煩，不能達志耳。,擁有過，但自覺不相稱，已經不掛於心矣。,不理想。,無指望。
212121,63,既濟,水火,已經得到利益不可貪之無厭。,表水火陰陽調和，一時平安和樂之象。主吉中帶凶之象。水火本相剋，因一時環境或人事所影響，而暫時相安無事，但終非常久之象，必有所沖剋而敗。,既濟，亨小，利貞，初吉終亂。,既濟，小亨通，利於貞定。開始為吉，最後會亂。,人無遠慮，必有近憂；若只沉浸於眼前的完美狀態，則凶險不遠。,功名雙收。極盛既至，但須知物極必反，宜退守為吉，再進則凶。但得此卦者，皆有因一時順利而忘本，大意失荊州，終有人不和、心迷亂之象。,起初出雙人對，形影不離，久後反無情必散。,實力有，但需視考期之日吉凶而定，小吉。,濟急可，不宜良久。
121212,64,未濟,火水,快要獲利。,表陰陽不調和，氣血不順。主凶中帶小吉之象。人事情緒不順應是最大的影響主因。幸好此卦會有否極泰來之變化，一切均會雨過天清的。值的等待。,未濟，亨。小狐汔濟，濡其尾，?攸利。,未得救濟，亨通。小狐狸在旱季裡覓食尋水，濕了尾巴，無所利。,做任何事情之前都要小心觀察之後再做判斷，絕對不可輕舉妄動，小心被美麗外表所欺騙。,氣運不通，諸事不能如願，有初衰後盛之數。凡事要有耐心去突破難關，前途將大有可望。此時宜採取篤實的方針和毅力，能夠努力建立自己者，可名利雙收。與人共謀事者，終有大利，可為之。,剛開始時意見不能溝通，格格不入。若能試著去接受對方，可成也。,不錯，有好成績。,枉費心機，無希望，再等候時機。
