辨識碼,卦序,卦名,爻辭,白話解析
1111111,1,乾,初九，潛龍，勿用。,潛藏的龍，切勿有任何作為。當養精畜銳的時候，凡事應當靜待時機，不宜行事，切勿躁進。
2111111,1,乾,九二，見龍在田，利見大人。,龍出現在田間，利於去拜見大人物。龍已出現在田間，象徵事情已出現端倪，不再潛藏。這時最好能積極主動，求見有權位的大人。
3111111,1,乾,九三，君子終日乾乾，夕惕若，厲无咎。,君子整日努力不懈怠，埋頭苦幹，夜晚更要自我反省警惕，艱難困苦，沒有罪咎。九三君子開始做事，但凡事起頭難，因此「終日健健，夕惕若」。若能夠忍受艱難困苦，則能免於罪咎。反之，若是怠慢以對，那麼就會有罪咎。
4111111,1,乾,九四，或躍在淵，无咎。,或許能夠躍出深不見底的水潭，沒有罪咎。九四則是嘗試突破的時候，因此說「或」，代表不確定。「躍」為突破的舉動，「或躍」就是嘗試突破現狀。
5111111,1,乾,九五，飛龍在天，利見大人。,飛翔的龍在天上，利於見有德位的大人。
6111111,1,乾,上九，亢龍有悔。,高傲的龍，會有悔恨。
1222222,2,坤,初六，履霜，堅冰至。,腳下踩著秋霜，顯示寒冬已近，將會結成堅硬的冰。霜為秋天之象，堅冰為嚴冬之象。腳踩秋天的霜就知道寒氣已在凝聚，嚴冬即將來臨。比喻凡事順勢而為，則可長久而堅定，積久而日漸成功。另一解讀為，告戒君子要防微杜漸，見微知著。
2222222,2,坤,六二，直方大，不習无不利。,正直、方正，而大度能容，天生有此德，不待學習，無所不利。
3222222,2,坤,六三，含章可貞，或從王事，无成有終。,內含文章之美而可以以此安定自守，但或者也可以選擇跟隨於王者做事，雖不能有所成就但也可以有個歸宿。
4222222,2,坤,六四，括囊，无咎无譽。,將袋口綁緊，比喻人應當謹言慎行，以求得沒有罪咎。六四為近於君位的多憂之地，因此只能戰戰競競，謹慎小心，以求得不犯錯，不要希求會得到任何的讚賞。
5222222,2,坤,六五，黃裳，元吉。,黃色下裙，大吉。黃為中色，黃裳比喻性情柔順而中庸。六五柔中，又處尊位，有美德而能自然表現於外。
6222222,2,坤,上六，龍戰于野，其血玄黃。,龍在野外打鬥相爭不下，兩敗俱傷，流出的血與泥土相混雜而成玄黃色。此比喻人未能一開始就辨明正邪，剛愎自用，最終疑心致極而引發爭端。另一比喻為小人居君子位，為惡多端，最終事態敗露而引來災難，窮途而沒路。
1212221,3,屯,初九，磐桓，利居貞，利建侯。,有磐石及大柱，根基及基礎非常穩固，宜於貞定，利於建立諸侯。這一爻為屯卦最開始的時候，此時正是建立根本，穩定基礎的時機。震為動，動處於內而不進，外有坎，互卦有艮，為動而不進之象。
2212221,3,屯,六二，屯如邅如，乘馬班如，匪寇婚媾。女子貞不字，十年乃字。,人馬聚集而盤旋不進，騎著馬在原地打轉。來者不是盜賊，而是來求婚者。女子因為守貞，因此一直未能懷孕生子。十年之後，才終於婚合而懷孕生子。十年比喻事情之艱難，需要長久等待與經營。而前面之乘馬則隱喻「馬上」求成之急切，但反而因此而被誤會為盜賊來犯，或者被認為是來逼婚，導致遭受懷疑而遇到了更大的困難。此比喻事情不能急切。
3212221,3,屯,六三，即鹿无虞，惟入于林中。君子幾不如舍，往吝。,到山林裡打獵，沒有守山林的人帶路就貿然進入，其危險可知。最好能知難而退。若一意前往，將自取其咎。
4212221,3,屯,六四，乘馬班如，求婚媾，往吉，无不利。,騎著馬在原地打轉，想要求婚合。勇往直前則吉，無所不利。
5212221,3,屯,九五，屯其膏，小貞吉，大貞凶。,屯積美食自己享用，問小事則吉，若是問大事則凶。
6212221,3,屯,上六，乘馬班如，泣血漣如。,騎著馬在原地打轉乾著急，痛哭流涕至於泣血不止。
1122212,4,蒙,初六，發蒙，利用刑人。用說桎梏，以往吝。,啟發蒙昧無知的人，使其明白事理。宜於實施刑罰於人，以刑罰為教育之手段。如果反過來赦免他們，讓他們脫掉腳鐐和手銬，以此縱容下去會造成悔恨。
2122212,4,蒙,九二，包蒙吉，納婦吉，子克家。,包容童蒙，吉。娶媳婦吉，兒子能夠承擔家庭責任。具有包容及中庸之美德。卜婚姻大吉，適於娶媳婦；有能幹的兒子能夠幫助持家。
3122212,4,蒙,六三，勿用取女，見金夫，不有躬，无攸利。,不宜娶妻。因女子見到有錢男人就失身，這女的沒什麼好的。
4122212,4,蒙,六四，困蒙，吝。,受困於蒙昧，有悔吝。
5122212,4,蒙,六五，童蒙，吉。,天真之童蒙，吉。由於能保有赤子之心，純真而自然，雖蒙昧，但吉人自有天相，傻人有傻福。
6122212,4,蒙,上九，擊蒙。不利為寇，利禦寇。,打擊童蒙，但不宜當盜賊做不義事，宜於抵禦盜賊。
1212111,5,需,初九，需于郊，利用恒，无咎。,滯留於郊外，宜有恒心，沒有罪咎。雖然眼前有危險，但懂得避開鋒頭不強行冒險。因為不冒險犯難、勉強前進，與危險保持安全距離，所以終能免於罪咎。
2212111,5,需,九二，需于沙，小有言，終吉。,滯留於沙地上，遭到輕微的言語中傷，最後為吉。「言」在《周易》中多屬負面的意思，指言語上的中傷。
3212111,5,需,九三，需于泥，致寇至。,滯留於水邊的泥濘，引來了盜賊。
4212111,5,需,六四，需于血，出自穴。,滯留於溝瀆之中，等敵寇離開之後，離開所躲藏的洞穴。另一解釋為浴血奮戰，從洞穴中逃出。血喻受傷、處於險境。
5212111,5,需,九五，需于酒食，貞吉。,滯留於酒食，享受酒食，貞定為吉。
6212111,5,需,上六，入于穴，有不速之客三人來，敬之終吉。,因逃難而躲入洞穴之中，有不請自來的客人三人來，禮敬他們，最後則吉。
1111212,6,訟,初六，不永所事，小有言，終吉。,不讓事情長久持續，雖然有些輕微的言語中傷，最終為吉。
2111212,6,訟,九二，不克訟，歸而逋其邑，人三百戶，无眚。,訴訟輸了，因此逃回家鄉，躲在自己的村莊裡，村莊人口雖然只有三百戶之多，但足以提供保護而免於禍害。
3111212,6,訟,六三，食舊德，貞厲，終吉。或從王事，无成。,靠舊有的祿位供養度日，堅定而艱困，最終為吉。或者能夠為大王做事，但無法有所成就。
4111212,6,訟,九四，不克訟，復即命渝，安貞吉。,訴訟失敗，回去即改變命令，安定守正則吉。知道訴訟失利，無法獲勝，因此知錯必改，立即更改命令，回復到未爭訟前的狀態。安於貞定，停止爭辯，因此而吉。
5111212,6,訟,九五，訟，元吉。,訴訟大吉。
6111212,6,訟,上九，或錫之鞶帶，終朝三褫之。,可能被賜與官帶，但一個早上之內就被連降三級。
1222212,7,師,初六，師出以律，否臧凶。,軍隊出征，要有紀律，若紀律不彰則大凶。
2222212,7,師,九二，在師中，吉，无咎，王三錫命。,在軍隊之中，吉，沒有罪咎。大王三次下了命令。
3222212,7,師,六三，師或輿尸，凶。,軍隊可能滿載屍體而歸，凶。
4222212,7,師,六四，師左次，无咎。,軍隊暫時退守，沒有罪咎。因應情勢而暫時退避，以保存實力，這是兵家之常事，即使無法得勝，但至少可以免於失敗的罪咎。
5222212,7,師,六五，田有禽，利執言，无咎。長子帥師，弟子輿尸，貞凶。,田中有獵物，宜於主張將它擒獲，沒有罪咎。資深的長子可帥領軍隊，但若是年輕小子就是載屍而歸。貞定不動則凶。田中有獵物比喻敵人來犯，以禽獸比喻敵人，敵人侵犯我領土，有如禽獸跑到我田中糟蹋作物。因此我出師有名，可以聲討將他擒拿。既然是敵人來犯，就應當抵禦，而不當貞定不動，沒有作為，若是貞定則凶。
6222212,7,師,上六，大君有命，開國承家，小人勿用。,天子承受天命，國家建立，分封諸侯。但小人不宜用。戰爭結束，開始論功行賞，開國寧邦，分封諸侯。然而對於小人只可以施與錢財的獎賞，絕不可授與官爵，否則將危害國家安定。
1212222,8,比,初六，有孚比之，无咎；有孚盈缶，終來有它吉。,以誠信前去親比，沒有罪咎。誠意有如盛滿瓶的水，最後自然會有意外的吉利之事。
2212222,8,比,六二，比之自內，貞吉。,以自己內在的涵養去親比，守正為吉。
3212222,8,比,六三，比之匪人。,比不對人，親近到的是沒有實權的人。與小人為伍，結交的盡是損友。
4212222,8,比,六四，外比之，貞吉。,向外親比，貞定則吉。
5212222,8,比,九五，顯比，王用三驅，失前禽。邑人不誡，吉。,王者之親比，極其顯耀。以三驅的畋獵之禮彰顯比道，跑在前面對著君王而來的飛禽走獸全都放走而不射殺。邑中百姓可以安心而不需防備，吉。
6212222,8,比,上六，比之无首，凶。,親比而沒有一個頭，凶。
1112111,9,小畜,初九，復自道，何其咎，吉。,走大道回家。回歸正途，走自己的路，有什麼罪咎可言？吉。復，回家，回復，回歸，返回，引申為迷途知返，改過遷善。復自道，走大道回家。自為由、從，復自道為從大道回家。另一解釋，自為自己，自道為自己的道路，復自道為回到自己走的道路，迷途而返的意思。此比喻君子回歸到自己的原則。
2112111,9,小畜,九二，牽復，吉。,牽引而回家，吉。比喻君子能夠攜手相助，不為小人所制，因此為吉。
3112111,9,小畜,九三，輿說輻，夫妻反目。,固定車輪軸的革繩脫落了，夫妻兩人反目成仇。
4112111,9,小畜,六四，有孚，血去惕出，无咎。,有誠信，血流去，恐懼除，無罪咎。小有血光之災，雖會流點血，歷經恐懼，但能夠免於罪咎。四為近君之位，又為互體兌之上爻，因此有憂慮驚險之象，但只要秉持誠信，恐懼自能消除，不會有事。
5112111,9,小畜,九五，有孚攣如，富以其鄰。,有誠信又能提攜他人，有財富而能與鄰居分享。
6112111,9,小畜,上九，既雨既處，尚得載，婦貞厲。月幾望，君子征凶。,雨已經下了，也已經停了，希望車子得以運載準備出行，婦女堅貞而艱苦。已近月圓之時，君子出征不利，凶。上九小畜已終，卦辭開始言密雲不雨，終則變為大雨，雖然雨過，但未必天晴。由於心中仍然懷疑，所以不利於出征，凶。
1111211,10,履,初九，素履，往，无咎。,樸素的鞋子，以此而往，沒有罪咎。素履言穿著樸素的鞋子出門，引喻為樸素的禮儀，沒有官位與名份的人並不需依照官場禮儀，只要依照自己的禮儀，獨善其身即可。
2111211,10,履,九二，履道坦坦，幽人貞吉。,所走的道路平坦而廣闊，隱士貞定則吉。履道坦坦比喻一個人行為坦蕩蕩，光明磊落。
3111211,10,履,六三，眇能視，跛能履。履虎尾，咥人凶。武人為于大君。,一眼盲也能看見，但所見不清楚。跛腳也能走路，但既不靈活也無法行遠。因此而踩老虎尾巴，老虎咬人，凶。這就有如一個武人而想要當君王一樣的危險。「眇能視，跛能履」比喻人不自量力，做自己所不擅長的事，諷刺後面的「武人」想要篡位當君王。「履虎尾，咥人凶」說明此不自量力、不謹慎行事的結果。武夫只懂得帶兵打仗，不懂治國方略，卻不安份而想要當國君，失敗乃註定的結果。就如眼睛看不清、腳跛不便於行，仍要去做那種需要眼明手快的危險事，踩到老虎尾巴而讓老虎所咬，乃是必然之事。
4111211,10,履,九四，履虎尾，愬愬，終吉。,踩老虎尾巴，戒慎恐懼，步步為營，終能化險為夷，吉。
5111211,10,履,九五，夬履，貞厲。,破損的鞋子，堅定則危險。夬通缺，缺為破的意思。夬履，破損之鞋子，鞋子破損則不當強行，引喻難以履行，難以履行之事當然就不宜堅持。
6111211,10,履,上九，視履，考祥其旋，元吉。,履道進入尾聲，回顧自己所做所為，仔細檢驗檢討優缺點，大吉。此為履道中能夠自省者，履卦吉道在謙虛自養，因此為吉。
1222111,11,泰,初九，拔茅茹，以其彙，征吉。,拔茅草的根，一拔就一整串的牽連而出。出征大吉。此比喻人當慎於始，一但一開始做對了，接下來將成連鎖效應，同類相牽引而出。又可比喻君子呼朋引伴，一但有人開頭，眾人便牽連而出。以此而出征，大吉。
2222111,11,泰,九二，包荒，用馮河，不遐遺，朋亡，得尚于中行。,取空心的匏瓜來渡河，還沒到達時匏瓜就遺失，朋友因而死亡。因為中庸的行為而得到獎賞。
3222111,11,泰,九三，无平不陂，无往不復。艱貞，无咎。勿恤其孚，于食有福。,沒有不傾斜的平地，離去的一定會再回來，艱苦守正則可免於罪咎。不用擔憂這是否可信，一定可以享有其福報。
4222111,11,泰,六四，翩翩，不富以其鄰，不戒以孚。,翩翩，鳥群飛而下，飛舞的樣子。此形容六四急欲呼朋引伴去與下卦君子相應。不富以其鄰，不以財富來驅使鄰居。鄰居指六五和上六等陰爻，共同與下面三陽相應，有棄暗投明之意。相較於「富以其鄰」是以財富驅使，為的是利，「不富以其鄰」則是以志趣、理念來驅使。
5222111,11,泰,六五，帝乙歸妹，以祉元吉。,帝乙嫁女兒，因此而有福祉，大吉。此為商王帝乙（商紂帝辛的父親）嫁女兒的故事，時殷商勢力已衰，面對周逐漸興起的威脅，為了安撫、討好周，因此帝乙將女兒嫁給了西伯，也就是後來的周文王。此為殷商的和親策略，因此保有和周暫時的和平關係及商天下的安定，因此說「以祉元吉」。
6222111,11,泰,上六，城復于隍，勿用師。自邑告命，貞吝。,城牆倒塌成為一片廢墟，已不需動用軍隊攻打。城內開始自行發布命令，然而命令已經大亂，若還以此堅定自守則會悔恨。泰道已至尾聲，泰極變否，國家開始動亂，不需出動軍隊即會滅亡。
1111222,12,否,初六，拔茅茹，以其彙。貞吉，亨。,拔茅草的根，一拔就一整串根根相連、牽連而出。貞定則吉而亨通。
2111222,12,否,六二，包承，小人吉，大人否亨。,包容而承順，小人吉，大人則閉塞不亨通。
3111222,12,否,六三，包羞。,所包容的是羞恥之事。羞，羞恥。帛書作「憂」，包憂，為包藏憂心。
4111222,12,否,九四，有命无咎，疇離祉。,有命令則不會有罪咎，同類可沾附其福祉。小人之道已消退，君子開始救濟閉塞的時運。然而九四處於多懼又沒有權力的位置，雖然有能力改變局面，但無法主動行事，必需等待來自上面的命令才能行動並免於罪咎。而同伴也將因為九四之志行而共同享受福祉。命令指的是來自九五之君的命令，得到命令而行事則无咎；反之，若無來自君上的命令就行事則有咎。
5111222,12,否,九五，休否，大人吉。其亡其亡，繫于苞桑。,否道休止，大人吉。但是心中當有國家將亡的警惕，就好比是綁在茂盛但是並不可靠的桑樹上。否道已經即將結束，小人之道停止滋長，具有陽剛中正之德的君子得以為亂世之中流砥柱。然而否道畢竟還沒結束，眼前太平只是暫時，基礎並不穩固，應當隨時警惕，不可掉以輕心。
6111222,12,否,上九，傾否，先否後喜。,傾覆的否道，先是閉塞，最後有喜。否道已經要結束，正是黎明前的黑暗，否極要泰來的時候。先是閉塞不通，但馬上會否極泰來，喜事來臨。
1111121,13,同仁,初九，同人于門，无咎。,與人會面於門外，沒有罪咎。同人于門字面意思為與人會面於門外，此當指周王與諸侯會見於旌門之事。
2111121,13,同仁,六二，同人于宗，吝。,夏宗之禮上行會同之禮，有悔恨。傳統解釋為與自己同宗族的人和同，這是吝嗇之道。
3111121,13,同仁,九三，伏戎于莽，升其高陵，三歲不興。,埋伏於草木叢裡，登到高地上。三年都無法興兵動武。此段言敵人強大，因此伏兵於草叢間觀其虛實，等待時機。後又爬到高地上，希望對全局有更好的掌控，仍然一無所獲。最後三年時間都無法興兵攻敵。
4111121,13,同仁,九四，乘其墉，弗克攻。吉。,築高城牆，讓敵人攻打不下。吉。乘，增、倍，加高。墉，牆，城牆。乘其墉，加高城牆，加強防護之義。加強防護而讓敵人攻打不下，因此為吉。
5111121,13,同仁,九五，同人，先號咷而後笑，大師克，相遇。,與人會同，先是驚恐而痛哭，後來因有轉機而大笑。大軍將敵人打敗，終於雙方相遇。會同的原因原本就是為了要征伐不順服的諸侯，因此會同之先「先號咷」，因遇諸侯反叛。而後笑者，會同是拉攏所親密的諸侯，諸侯出兵相助，則有更多武力以征討不順服的諸侯。
6111121,13,同仁,上九，同人于郊，无悔。,在郊外與人會盟，無所後悔。郊與野原本有離城遠近之別，但都意指城外。傳統解釋以「郊」喻人之置身事外。同人卦中，其他四陽爭一陰（六二），唯獨上九是完全置身事外者。上九雖想置身事外，又得與人和同，所以像是群體中與人格格不入者，因此《象》曰：「同人于郊，志未得也。」言獨善其身之志向未能實現。
1121111,14,大有,初九，无交害，匪咎，艱則无咎。,因沒有相交而受害，並不是應有的罪咎。艱苦則沒有罪咎。大有的初始階段，與富有之主（六五）沒有交集，因而受到兵戈相害。這不是因為自己有什麼罪咎。。
2121111,14,大有,九二，大車以載，有攸往，无咎。,大車用以承載，可以遠行，沒有罪咎。九二性情剛健而處事中庸，又與六五之君相應，所以足以受君王之所託而承擔重任，以走長遠的路途。
3121111,14,大有,九三，公用亨于天子，小人弗克。,王公和天子聚餐，小人則不堪此任。若是君子、大人，可以直達天子，並輔佐天子以治天下。但反之，若是小人，居於此位反而無法擔當，直接受害。古時以身份地位分君子小人，以現今意義來看，若是主管、官員，得此爻，官運亨通，足勝大任；若為基層員工，或是一般人，則無以擔負重任。
4121111,14,大有,九四，匪其彭，无咎。,不炫耀，保持低調，無咎。處於富有之世，但太接近權力核心，不只憂慮特別多，還要處處避免嫌疑。最好能懂得低調以明哲保身，認清自己的地位，則能免於罪咎。
5121111,14,大有,六五，厥孚交如，威如，吉。,誠信而能與人相交，有威嚴，吉。六五處於最尊貴的位置，柔順而中庸，而且有陽剛的一群賢能之士來輔佐。既有誠信與群臣交心，又有威嚴，受人敬重，吉。
6121111,14,大有,上九，自天祐之，吉无不利。,來自上天的保佑，吉，無往而不利。六五已是尊位，上九處大有卦的極盛，又為六五之君所供養（六五承上九，柔承剛為順為吉），因此像是太上皇，比六五而更富有天下，因此大吉，無往而不利。
1222122,15,謙,初六，謙謙君子，用涉大川，吉。,謙卑又謙卑的君子，可以涉水過大河，吉。此爻謙卑者吉，反之，高傲者凶。如涉水過河，知道危險、人力渺小，則能安然渡過。而高傲者，以暴虎馮河的蠻勇，自以為人力勝天，就會遭至滅頂之災。
2222122,15,謙,六二，鳴謙，貞吉。,唱和式的謙虛，貞定則吉。性情柔和，而能與有能力的陽剛之人互相唱和，心悅誠服追隨賢能之士，貞正則吉。
3222122,15,謙,九三，勞謙，君子有終，吉。,辛勞的謙虛，君子可以有始有終，吉。辛勤勞苦，苦行式的謙卑感化群眾，讓大家心服口服地追隨。如此吃苦耐勞、謙虛而不居功，又能持之以恒，有始有終，吉。
4222122,15,謙,六四，无不利，撝謙。,無所不利，因為能夠發揮謙虛之美德。撝，音揮。原為裂開的意思，引申為決裂，或揮別、離去。撝也可解釋作揮，發揮、施為、作為的意思。第二種解釋較為普遍，於文義也較通順，撝謙意指六四能夠發揮、發揚謙卑之美德，因此無不利。
5222122,15,謙,六五，不富以其鄰，利用侵伐，无不利。,不必以金錢就可請鄰居幫忙，宜於出征侵伐，無所不利。六五為君位，說的是君王能以謙虛懷柔而收服身邊近處的人心，但對於遠方不服者則以武力討伐。
6222122,15,謙,上六，鳴謙，利用行師，征邑國。,聲討及兼併，宜於發動軍隊，征伐城邑。傳統解釋以「鳴謙」為空口說的謙虛，不具實質，因而無法感人服人。只能動用軍隊，鎮壓城內。上六是謙卦的極高之處，謙卦貴在於卑微，上六在最高處，為最高調的謙卑，因此是虛假、徒具虛名，拿來說嘴與自豪的謙卑。因此連近處的人都無法信服，只好以武力來鎮壓。
1221222,16,豫,初六，鳴豫，凶。,大聲玩樂，凶。過於淫逸，而至鳴叫。豫之吉在於節制、防患未然，忌在淫逸放縱。初六處於豫樂的開始，一開始就不知自我節制。
2221222,16,豫,六二，介于石，不終日，貞吉。,敲擊演奏石磬，不到一日，貞定為吉。此言豫樂有所節制，豫道以節制為吉。不終日言有所節制，不至終日即停止。六二居互體艮之下，知所止之象。
3221222,16,豫,六三，盱豫，悔遲有悔。,一早就豫樂，如果悔改晚了那就真的要悔恨了。傳統解釋「盱豫」為奉承謟媚的逸樂，悔改為宜。言小人因為接近權勢而奉承謟媚以求豫樂，若陷溺其中而遲遲不知回頭，將會後悔。
4221222,16,豫,九四，由豫，大有得，勿疑，朋盍簪。,心中猶豫不定。大有獲得，不用懷疑，朋友皆會以你為宗主，群聚而來。
5221222,16,豫,六五，貞疾，恒不死。,卜問疾病，久久不會死。「貞」為「卜問」的意思。也可解釋為貞固（偏執）以致成疾，但久而不死。
6221222,16,豫,上六，冥豫，成有渝，无咎。,豫樂至夜，該是結束的時候，改變則沒有罪咎。豫樂之道已走到盡頭，豫卦忌在耽溺。該是結束豫樂的時候，若再繼續則是沉迷而不知返，將有罪咎。因此告戒「成有渝」，渝者變也，豫道已成就要變。由動而歸靜，則可免於罪咎。
1211221,17,隨,初九，官有渝，貞吉，出門交有功。,官員將有變動，貞定則吉。出門與人相交，會有功。此言官員將有變動，當以不變應萬變，貞定則吉，不變者就是守住自己的本份。反之，若到處鑽營，試圖奉承可能的新長官，那麼可能弄巧成拙。出門交有功，出門與人結交，寓指不在體制內去運作，走出框架，到外廣結善緣，則可以有收獲。
2211221,17,隨,六二，係小子，失丈夫。,綁住了小孩，卻跑走了大人。事情無法兩面兼顧，顧此失彼，所得者小，所失者大。
3211221,17,隨,六三，係丈夫，失小子，隨有求得，利居貞。,綁住了大人，跑走了小孩。追逐求取而有所獲得，利於處正。追到正確的方向而有所獲得，利於守正不變動。比喻雖然兩面無法兼得，但選擇正確的一邊，收獲豐盛，而抓到了丈夫（大人）。既然選對邊了，只要守住不變就可以了。
4211221,17,隨,九四，隨有獲，貞凶。有孚在道以明，何咎？,隨從有所收穫，堅定為凶。有誠信，走的是大道，若能明哲不居功，有何罪咎？君子有人追隨、獲得人心，若堅定而行將因此遭凶。
5211221,17,隨,九五，孚于嘉，吉。,信於美善則吉。另也可解釋為有俘虜於嘉禮，吉。
6211221,17,隨,上六，拘係之，乃從維之，王用亨于西山。,將他抓來囚禁，然後再將他釋放。大王在西山舉行享祀。此爻典故講的是西伯（周文王）被紂王拘禁再被釋放的故事。西伯被囚於羑里，在被釋放之後舉行饗宴以感謝各方幫助，或舉行祭祀以謝神明。
1122112,18,蠱,初六，幹父之蠱，有子，考无咎。厲終吉。,父親手上家道中落，幸賴有能幹的兒子能夠繼承父親的責任，讓做父親的死也瞑目。雖然艱苦而有危險，但最終為吉。
2122112,18,蠱,九二，幹母之蠱，不可貞。,承擔母親的事，不可以貞定於此。為人子者不適於承擔婦人的事，所以這種事不宜堅持。
3122112,18,蠱,九三，幹父之蠱，小有悔，无大咎。,承擔父親的事，有小小的後悔，但並無大的罪咎。
4122112,18,蠱,六四，裕父之蠱，往見吝。,增加了父親的腐敗，以此前往則悔恨。此言六四無能，讓事態更加嚴重。
5122112,18,蠱,六五，幹父之蠱，用譽。,承擔父親的責任，能夠繼承父親的道德，因而建立起好的聲譽。
6122112,18,蠱,上九，不事王侯，高尚其事。,不用為王侯做事，只以「高尚」為事業。居蠱卦的最頂端，已經置身事外，天下本無事，所以不用再為王公貴族做事，可以開始做自己。
1222211,19,臨,初九，咸臨，貞吉。,感化式的治理，剛正而且地位正當。貞正則吉。
2222211,19,臨,九二，咸臨，吉，无不利。,嚴格的治理，吉無不利。
3222211,19,臨,六三，甘臨，无攸利。既憂之，无咎。,輕鬆的監臨，沒什麼利益。既然知道要憂慮，就能免於罪咎。
4222211,19,臨,六四，至臨，无咎。,親臨現場的治理，沒有罪咎。
5222211,19,臨,六五，知臨，大君之宜，吉。,睿智的治理，君王德政，吉。此言君王行事合宜而有睿智。
6222211,19,臨,上六，敦臨，吉，无咎。,敦厚的治理，吉，沒有罪咎。
1112222,20,觀,初六，童觀，小人无咎，君子吝。,童僕或兒童的觀點，小人沒有罪咎，君子就很可鄙。言初六之觀禮有如僕童或兒童，所觀膚淺、淺薄，從頭到尾不知道祭典在做什麼。小人如此無可厚非，故曰無咎。君子如此則不識大體，很可鄙而有吝，吝者言其小疵而趨近於凶。
2112222,20,觀,六二，闚觀，利女貞。,從門縫看祭典，只適於女子的貞靜。從門縫窺探祭典，所看非常偏狹而不完整。對女性而言，這樣的行為與胸襟無傷大雅，因此說有利於守貞守靜的女性。但此亦告戒君子，行為與心胸不當有如三姑六婆以窺探他人私事為業，應當志在四方，放眼外面的大世界，注重大的問題與事情。
3112222,20,觀,六三，觀我生，進退。,開始觀看自己的行為，面臨進退的決定。對於祭典既無法像小老百姓一樣漠不關心，又無法像國賓一樣直接參與，居於進與不進，退與不退的決定之間。
4112222,20,觀,六四，觀國之光，利用賓于王。,觀看國家之光，宜於受邀成大王的貴賓。直接參與盛會的觀眾，也是祭典的上賓，可以目睹一切的慶典盛事。利於去拜訪別人的國家，將受到貴賓的招待。
5112222,20,觀,九五，觀我生，君子无咎。,自我觀察，自我反省，君子沒有罪咎。
6112222,20,觀,上九，觀其生，君子无咎。,觀看他人的行為，君子沒有罪咎。
1121221,21,噬嗑,初九，履校滅趾，无咎。,受刑而斷了腳趾，沒有罪咎。腳被戴上刑具而斷了腳趾，一開始就遭受小懲，不會繼續犯下殺身的大錯，所以沒有罪咎。
2121221,21,噬嗑,六二，噬膚滅鼻，无咎。,吃肉犯法而遭受割鼻的刑罰，沒有罪咎。噬膚滅鼻也可指吃到好吃的肉以致於鼻子埋在器皿中，用以比喻所斷之案件簡單容易。
3121221,21,噬嗑,六三，噬腊肉，遇毒，小吝，无咎。,吃到乾硬的腊肉，有陳年臭味的肥脂，小小悔恨，沒有罪咎。此言醃漬的腊肉已經過期而有毒，卻以為是好東西而吃了下去。不過只是小小的過錯，不致於有太大的罪咎。此或比喻遇到陳久而棘手的老案件，很難處理。
4121221,21,噬嗑,九四，噬乾胏，得金矢，利艱貞，吉。,吃到乾硬而帶骨的肉，得到金屬箭頭的幫助，若能夠辛苦而守正則吉。比喻事情艱難、錯綜複雜而不好應付，但若能努力辛苦好好處理則吉。
5121221,21,噬嗑,六五，噬乾肉，得黃金。貞厲，无咎。,吃到乾肉，得到黃金，堅貞而艱苦則可得無咎。比喻事情有點困難又不會太困難，但也因為不難不易而更容易因此讓人心生怠慢而有所疏忽。
6121221,21,噬嗑,上九，何校滅耳，凶。,罪刑重大而導致枷鎖套到頭上，耳朵被割，凶。
1122121,22,賁,初九，賁其趾，舍車而徒。,此言君子有所不為，縱使有車可乘，也因為義理上不應坐車，而情願步行。初為趾，也代表行為、行動的開始。文飾在腳，引申為一開始就有所不為，隱喻君子慎於始。原本有車可乘是個榮寵，理當接受。但是自覺於道義上不當接受，所以裝飾其行為，選擇步行而不乘車。
2122121,22,賁,六二，賁其須。,打扮其賤妾。須比喻只是配角，只能當做是別人的裝飾。
3122121,22,賁,九三，賁如濡如，永貞吉。,文飾相當盛大而美麗，永保貞定則吉。包裝裝飾得極為漂亮，然而文勝質則史，與其過度追求外表的榮華，不如堅守自己的內在美德，才能永保榮景。
