辨識碼,卦序,卦名,爻辭,白話解析
6122211,41,損,上九，弗損，益之，无咎，貞吉。利有攸往，得臣无家。,不要減損，應當增益。沒有罪咎，貞定則吉。利有所往，得到無私的大臣。
1112221,42,益,初九，利用為大作，元吉，无咎。,適於有大的作為，大吉則可免於罪咎。
2112221,42,益,六二，或益之十朋之龜，弗克違，永貞吉，王用享于帝，吉。,價值十朋貝的烏龜來幫助，無法違背，永保貞定為吉。大王藉以敬祀天帝，大吉。
3112221,42,益,六三，益之用凶事，无咎。有孚中行，告公用圭。,努力救濟凶阨之事，沒有罪咎。但應秉持誠信，行事中庸，必需慎重其事的秉告並取信於公侯。此事吃力不討好，不但要努力救火，還需小心謹慎避嫌，才能免於罪咎。
4112221,42,益,六四，中行，告公從，利用為依遷國。,秉持中庸之道行事，告訴主公則主公無不順從，甚至連遷國這麼大的事也可達成。君主聽從建議，上下共同協謀，基於對大局利益之考量，而遷國以安撫百姓。適於遷移，凡可遷移者都大吉。下屬則能得到上級的信任而得以做大事。
5112221,42,益,九五，有孚惠心，勿問元吉，有孚惠我德。,有誠信，而且能恩惠及於人心，此事不須問，大吉！我以誠信恩惠於人，人亦以誠信回報所受之恩德。施比受者有福，能利益於人，人亦回報於我。大吉。
6112221,42,益,上九，莫益之，或擊之。立心勿恒，凶。,不能幫助他人，因而受到各方的攻擊。完全沒有持久的恒心，凶。上九處益之上，益卦應該是損上益下的時候，但上九陽剛不當位，居於九五之尊的上面，非但不能利益於他人，還反過來要人利益於己，是無功而居功、邀功者。若偶有行善，也只因一己之利，所以無恒心可言。凶。
1211111,43,夬,初九，壯于前趾，往不勝為咎。,強壯於前腳趾，無法勝任就貿然前往會有罪咎。意氣剛強，貿然前往，然而無奈地位卑微，無決定能力而且無所依靠，所以雖然仗義而往，仍然為小人所傷。
2211111,43,夬,九二，惕號，莫夜有戎，勿恤。,憂慮的大聲警告戒備，小心夜晚會有盜賊來犯，有所防備就不需擔憂。
3211111,43,夬,九三，壯于頄，有凶。君子夬夬，獨行，遇雨若濡，有慍，无咎。,強壯於臉上，凶。君子心中憂慮猶疑不定，獨自行走，遇到了下雨而全身被淋濕，臉上不悅，但沒有罪咎。
4211111,43,夬,九四，臀无膚，其行次且；牽羊悔亡，聞言不信。,屁股受傷而沒有皮膚，讓人坐立難安，連走路都有困難。如果能夠把羊綁好牽好，不讓羊到處頂撞闖禍，就不會有事，當初這麼告誡就是不相信，今天才會弄成這個樣子。
5211111,43,夬,九五，莧陸夬夬，中行无咎。,馬齒莧的根拔了又拔，中庸而行則不會有罪咎。
6211111,43,夬,上六，无號，終有凶。,無所呼號，最後有凶。有位而無權，孤立而無援，最終將被處決，大凶。
1111112,44,姤,初六，繫于金柅，貞吉。有攸往，見凶，羸豕孚蹢躅。,豬被綁在金屬做的阻柅器上，貞定為吉。若是有所往，那麼為凶，就如那被綁起來的豬只能原地浮躁地亂跳。
2111112,44,姤,九二，包有魚，无咎，不利賓。,廚房有魚，沒有罪咎，不利於拿來宴請賓客。
3111112,44,姤,九三，臀无膚，其行次且，厲无大咎。,屁股受傷以致於沒有皮膚，讓人坐立難安，連走路都有困難。艱苦則不會有大的罪咎。
4111112,44,姤,九四，包无魚，起凶。,廚房中沒有魚，出征，凶。
5111112,44,姤,九五，以杞包瓜，含章，有隕自天。,我怎能像是個瓠瓜，只能掛著好看而不能食用。藏著一身才華，卻突然上天降下這憂愁。此言懷才不遇，還聞壞消息而心生憂愁。
6111112,44,姤,上九，姤其角，吝，无咎。,姤卦的頂點，無人可遇，只遇到傷人的尖角，窮途而無法有所遇。悔吝，沒有罪咎。角會抵觸傷人。姤其角，謀事不成反而因此受傷。
1211222,45,萃,初六，有孚不終，乃亂乃萃。若號，一握為笑，勿恤，往无咎。,誠信不能長久，因為動亂而集會眾人。如果能夠出面號召，與人握手言和，一笑置之，不需憂心，如此前往能免於罪咎。前半段講因為不能信守承諾而引來動亂，以此而集會，可能動輒得咎。後半講，如果能把事情說開，放下身段與人溝通，握手言和，那麼就可得无咎。
2211222,45,萃,六二，引吉，无咎。孚乃利用禴。,牽引同伴而往，吉，無咎。虔誠者才能夠以簡單的祭祀來祈福。此以禴祭比喻誠心之重要，有誠心者，則祭祀不在隆重，簡單如禴祭亦可感動神明，得到保祐。心志若夠堅定，誠心足夠，則自能吉而無咎。反之，若無誠心，那麼怎樣隆重的祭祀都沒有用。
3211222,45,萃,六三，萃如嗟如，无攸利，往无咎，小吝,相聚而感歎，無所利。前往，沒有罪咎，小有悔吝。萃如嗟如，相聚而感嘆。因為所聚非人。萃卦應該是利見大人，但六三見不著大人，只能見到小人。
4211222,45,萃,九四，大吉无咎。,上近九五之君，下臨群眾，因此自然能與有權位的人接近相聚，不勞心力。大吉。因為九四居多懼多凶之地又失位，行止有些不妥當，原本當有罪咎，事情大吉之後才能免於罪咎。反之，若事情未能大吉，那麼恐怕就有失位的罪咎。
5211222,45,萃,九五，萃有位，无咎，匪孚。元永貞，悔亡。,聚會中有地位，沒有罪咎，但也沒有誠信，當長保貞定才能免於後悔。雖然位高，但下有佞臣分化權力，無法讓人相信，並讓志向無法光大。當此之際只有長期的堅定守正，才能免於後悔。
6211222,45,萃,上六，齎咨涕洟，无咎。,傷心悲嘆，痛哭流涕，沒有罪咎。處萃卦的最上面，近處沒人能伸援手，遠處又無人呼應。往下哀求與人相聚而不可得，只能獨自哀聲嘆息，涕泗縱橫，但若是能反省而改過，應能免於罪咎。
1222112,46,升,初六，允升大吉。,必定上升，大吉。《象》曰「上合志也」，與上面志氣相同，因此必然可上升。升卦吉道在有人提攜，初六為有人提攜者，因此可順利上升。
2222112,46,升,九二，孚乃利用禴，无咎。,有誠意然後才宜於用儀式較簡單的禴禮來祭天，沒有罪咎。有誠意自能感動上天，雖然牲禮很薄，儀式簡單，但仍然可以與神明相感應，而得到保祐。
3222112,46,升,九三，升虛邑。,進入空虛的城邑，如入無人之境，無人可擋。
4222112,46,升,六四，王用亨于岐山，吉，无咎。,大王在岐山祭天，吉，沒有罪咎。另一解釋為大王藉以在岐山而亨通，吉，沒有罪咎。
5222112,46,升,六五，貞吉，升階。,貞定為吉，登階而坐上主位。此言祭天之禮上天子登階而踏上主座，也就是踐阼之禮。
6222112,46,升,上六，冥升，利于不息之貞。,這種堅持如果用在好事是非常好的，反之，若用在壞事就很糟糕。最忌被權位沖昏了頭，耽溺於榮華富貴而停不下來。
1211212,47,困,初六，臀困于株木，入于幽谷，三歲不覿。,屁股困於枯木中，進入幽深的山谷裡，歷經三年都無法見到人。人不但受困於幽深的山谷，而且還無法安歇休息。
2211212,47,困,九二，困于酒食，朱紱方來，利用亨祀，征凶，无咎。,困於酒肉飲食，祭祀所用的朱色儀服才剛送到，宜於祭祀。若是進取而出征，凶，无咎。
3211212,47,困,六三，困于石，據于蒺蔾。入于其宮，不見其妻，凶。,受困於堅硬的石頭，所賴以據守的是有刺的蒺蔾草。進入他的宮室內，但見不到妻子。石頭為堅硬無情之物，而荊棘又會傷人，比喻所據所依相當不可靠。不見其妻為大凶，不祥之兆。
4211212,47,困,九四，來徐徐，困于金車，吝，有終。,遲遲才來，因受困於金車的緣故。悔恨，但總算能有結果。
5211212,47,困,九五，劓刖，困于赤紱。乃徐有說，利用祭祀。,割鼻又斷腿，紅色祭服無法送達。若能有耐心慢慢來，事緩則圓，就能取悅於人心，得以祭祀祈福。
6211212,47,困,上六，困于葛藟，于臲卼，曰動悔有悔，征吉。,困於藤蔓之中，又困於高危的險地。行動之後反省再反省，出征為吉。一方困於藤蔓之纏繞而無法活動，一方又處於高處而危險之地，可謂進退兩難。然而窮則變，變則通，如果能因此謀慮而後動，化被動為主動，勇敢出征則吉。正所謂攻擊是最好的防禦，窮極則通，上六為窮極而變之時，當以主動積極而突圍，出征為吉。
1212112,48,井,初六，井泥不食，舊井无禽。,井裡充滿了爛泥巴，井水因污穢而不能飲用。破舊壞掉的水井，無法聚集鳥獸。這是廢棄已久而不能使用的水井，積滿污泥，無水可喝。比喻君子不修德，則人民就會棄他而去。
2212112,48,井,九二，井谷射鮒，甕敝漏。,井底跳出小魚，裝水的甕破舊而漏水。水井本應該讓泉水往上湧出，以供人飲用，但現在井未修復，水量不足，僅能養小魚，不足以讓人飲用；儲水的甕破了在漏水，也無法裝水。
3212112,48,井,九三，井渫不食，為我心惻。可用汲，王明，並受其福。,水井再次湧出甘甜的泉水，可以為人所飲用，然而因為之前水井壞掉，壞名聲在前，所以還不能讓人所接納。若有英明而有眼光的大王來取用，眾人也可以同享福報。
4212112,48,井,六四，井甃无咎。,修補井牆，沒有罪咎。雖然井水早已重新湧出，但是硬體方面仍需加強，所以現在又要把水井的外圍用磚砌好，不只可以吸引人，而且也可以保有水井的完好。目前正在修築時期，不會有罪咎。
5212112,48,井,九五，井洌，寒泉食。,井水非常甘冽，受大家的喜愛而紛紛來飲用。
6212112,48,井,上六，井收勿幕，有孚元吉。,井已完成，不要將它覆蓋。有誠信，大吉。
1211121,49,革,初九，鞏用黃牛之革。,時機未到，尚無法有所改變。此時可以守成而無法革命。地位與權力還不夠，無法有所做為，所以仍應以鞏固原本的志向與基礎為吉，不能妄動。
2211121,49,革,六二，已日乃革之，征吉，无咎。,天命已來時才革命，出征吉，沒有罪咎。天命已降，變革的時機已到，可以取信於人。此時革命順天應民，因此不會有罪咎。
3211121,49,革,九三，征凶，貞厲。革言三就，有孚。,出征為凶，貞定則危險。革命之言再三審議可行之後，才確定可以行動。不論出征或貞定不動，都有其困難。但革命已是時勢所然，但若過於急躁，直接出征則凶。必需審議各方意見再三，才能確定革命。革命的決定，要相當的謹慎小心。
4211121,49,革,九四，悔亡，有孚，改命吉。,不用後悔，已確信，改天命，吉
5211121,49,革,九五，大人虎變，未占有孚。,大人的變革像老虎紋一樣的文理煥發，不需占卜就有信驗。革命之後，有為振作之時，如周公制禮作樂，此時正當大舉建立制度，讓一切步入正軌。此事不待占卜，即有應驗，大吉。
6211121,49,革,上六，君子豹變，小人革面，征凶，居貞吉。,君子變革有如豹一樣的敏捷而文章茂盛，小人(老百姓)則開始洗心革面。出征為凶，貞定則吉。
1121112,50,鼎,初六，鼎顛趾，利出否。得妾以其子，无咎。,鼎翻覆，鼎腳朝上，以利於倒出不要的東西。為了生子而納妾，沒有罪咎。
2121112,50,鼎,九二，鼎有實，我仇有疾，不我能即，吉。,鼎中裝滿美食，然而所來往的人並非善類，不要親近他則吉。
3121112,50,鼎,九三，鼎耳革，其行塞，雉膏不食。方雨虧悔，終吉。,鼎耳改變了，無法移動鼎，裡面肥美的雉雞，看得到卻是吃不到。等到下雨，鼎溫下降，終於不用悔恨，最後為吉。錯誤的創新反而誤了事。鼎耳原本應當在鼎上，當食物煮好時就可以利用鼎鉉移動鼎，將美食送上。但現在鼎耳卻改變了，變成在鼎腹之旁，使得熱鼎無法順利搬動。
4121112,50,鼎,九四，鼎折足，覆公餗，其形渥，凶。,鼎的腳折斷翻覆，把要獻給主公的肉粥給弄翻了，形態狼狽，凶。比喻人無法勝任所負責的重任，將受到嚴厲的刑罰。
5121112,50,鼎,六五，鼎黃耳金鉉，利貞。,鼎有黃金般的耳與金屬的鉉，利於貞定。
6121112,50,鼎,上九，鼎玉鉉，大吉，无不利。,有如鼎上玉製的鉉一樣尊貴，大吉，無往不利。
1221221,51,震,初九，震來虩虩，後笑言啞啞，吉。,震動，亨通。震動之來讓人害怕驚呼，但後來能夠笑顏逐開，吉。也可解釋為拍打瑞麥祈福而虩虩作響，大家一片歡笑，吉。
2221221,51,震,六二，震來厲，億喪貝，躋于九陵，勿逐，七日得。,震動帶來了危險，喪失了許多的財物。登上高陵，所失去的不必去追逐，七日就可復得。失財之象，但可失而復得。
3221221,51,震,六三，震蘇蘇，震行无眚。,雷停了又來，不斷反覆，有如變動一波未平一波又起。啟程前往，不會有災禍。
4221221,51,震,九四，震遂泥。,震動陷於泥濘之中。事情無法光大，志向無法伸展。
5221221,51,震,六五，震往來厲，億无喪，有事。,往外震動而引來危險，若能大有為則不會有所損失，然而會遇到一些狀況。
6221221,51,震,上六，震索索，視矍矍，征凶。震不于其躬，于其鄰，无咎。婚媾有言。,震動卻意氣消沉，因恐懼而眼神不安，以此出征，凶。震動不到自己，只到鄰居，沒有罪咎。婚媾而引來閒言閒語。
1122122,52,艮,初六，艮其趾，无咎，利永貞。,回頭看到他的腳，沒有罪咎。利於長久堅定守正。也可解釋為小心、注意他的腳，以避免墜落，因此而无咎。
2122122,52,艮,六二，艮其腓，不拯其隨，其心不快。,回頭看到他的小腿，看到時已來不及拯救他的失足墜落，因此心中相當不快。
3122122,52,艮,九三，艮其限，列其夤，厲熏心。,回頭看他的腰部，背脊受傷而撕裂，痛徹心扉。
4122122,52,艮,六四，艮其身，无咎。,照顧他的身體，沒有罪咎。
5122122,52,艮,六五，艮其輔，言有序，悔亡。,注意他的口頰，講話很有條理，不用悔恨。
6122122,52,艮,上九，敦艮，吉。,受到很好的照顧，吉。
1112122,53,漸,初六，鴻漸于干。小子厲，有言，無咎。,大雁逐漸飛到水岸邊，小孩追逐之而有落水的危險，大人斥喝才終免於罪咎。
2112122,53,漸,六二，鴻漸于磐，飲食衎衎，吉。,大雁飛到了水邊的大石頭上，很快樂地在上面享受美食，吉。
3112122,53,漸,九三，鴻漸于陸，夫征不復，婦孕不育，凶，利禦寇。,大雁飛到陸地，離開自己熟悉的水域。丈夫出征一去無回，婦人懷孕而無法養育兒子，凶。宜於抵禦賊寇。
4112122,53,漸,六四，鴻漸于木，或得其桷，无咎。,大雁飛到了樹上，或許可以找根粗壯的橫木來停歇，沒有罪咎。鴻鳥腳趾太長而相連，無法棲於一般的樹枝上，只有橫而粗的樹枝（桷）才可以棲息。此比喻在漸進的中途中，應當要能夠權宜而順應環境。
5112122,53,漸,九五，鴻漸于陵，婦三歲不孕，終莫之勝，吉。,大雁飛到了丘陵上，婦女三年無法懷孕。但終究能得償所願，最後為吉。
6112122,53,漸,上九，鴻漸于陸，其羽可用為儀，吉。,大雁飛到陸地上，它的羽毛可用於禮儀上，吉。鴻鳥原本飛離水邊越來越遠，現在則又往水邊飛回，雖然目前只飛回到陸地，但總算知道知所進退，懂得循序漸進，吉。
1221211,54,歸妹,初九，歸妹以娣，跛能履，征吉。,新娘的妹妹當做陪嫁，跛腳者也能走路。出征吉。跛腳者也能走路，但行動不便，也難遠行。此事雖吉，但無法有大成就。
2221211,54,歸妹,九二，眇能視，利幽人之貞。,弱視者也是能看得到，但是所看到的卻是不夠清楚，也不夠遠。利於像隱者一樣的貞定。
3221211,54,歸妹,六三，歸妹以須，反歸以娣。,嫁女以賤妾陪嫁，但因為不是很洽當，回頭又改以新娘妹妹為陪嫁。
4221211,54,歸妹,九四，歸妹愆期，遲歸有時。,嫁人過了期，遲嫁最後還是會有個時間。女子年歲早到已婚之齡，卻仍未出嫁。然而天下沒有嫁不出去的新娘，婚期不是不到，只是未到，一定會有來到的一天。凡事靜靜等待，終有等到的一天。
5221211,54,歸妹,六五，帝乙歸妹，其君之袂不如其娣之袂良，月幾望，吉。,帝乙嫁女兒，其夫君衣袖的裝飾連陪嫁女的都比不上。月亮即將滿月，吉。
6221211,54,歸妹,上六，女承筐无實，士刲羊无血，无攸利。,女子捧著獻禮用的竹框卻是空的，男子殺羊卻殺不出血。此事無法有所利益。此言婚禮的祭祀準備過程非常的不順利，狀況連連，很多的不祥之兆，因此說無所利。程頤則認為，婦人捧筐，丈夫刲羊，是夫妻祭祀先祖的分工，夫妻兩人皆不勝任，是夫婦將離絕。
1221121,55,豐,初九，遇其配主，雖旬无咎。往有尚。,遇到招待的女主人，雖然已經有一旬，但不會有罪咎，前往能得到獎賞。然而若是久留過旬，則會有災難。
2221121,55,豐,六二，豐其蔀，日中見斗，往得疑疾，有孚發若，吉。,太陽被厚厚的雲所遮蔽，以至於日正當中時竟然天黑，可以見到斗星。貿然前往一定會遭到猜疑，但若能以誠信慢慢感化則吉。前段言太陽被遮蔽而黯淡無光，比喻君王被小人所蒙蔽。後段言君子因被蒙蔽而有了疑心病，為臣者必需以誠信才能夠啟發君王。
3221121,55,豐,九三，豐其沛，日中見沬，折其右肱，无咎。,天空更暗，以至於日正當中時還能夠見到小小的沬星。右臂折斷，沒有罪咎。
4221121,55,豐,九四，豐其蔀，日中見斗，遇其夷主，吉。,太陽被厚厚的雲所遮蔽住，以至於日正當中時竟然天黑，可以見到斗星。遇到昏暗時代中的主人，吉。
5221121,55,豐,六五，來章，有慶譽，吉。,引來章美，得到慶賀與讚譽，吉。
6221121,55,豐,上六，豐其屋，蔀其家，闚其戶，闃其无人，三歲不覿，凶。,盛大其住屋，覆蓋其住家。窺探他家門戶，空空不見人影。三年都看不到人，凶。此言住屋豪華極奢，但將家裡封閉起來，隔絕於外。外人只能偷窺他的門戶，裡面是空空不見人影，此言小人得勢之後高傲而孤僻，如此自絕，久當遭禍，三年必將應驗。
1121122,56,旅,初六，旅瑣瑣，斯其所取災。,行旅在外而與人斤斤計較，因此而引來災難。
2121122,56,旅,六二，旅即次，懷其資，得童僕貞。,行旅在外而找到了旅舍，財物藏於身而不露白，得到了值得信任的童僕。
3121122,56,旅,九三，旅焚其次，喪其童僕，貞厲。,所住的旅舍被焚毀，跟隨的僕人也不見。堅持則危險。
4121122,56,旅,九四，旅于處，得其資斧，我心不快。,旅途中找到歇腳的地方，得到了一些資財以及斧頭，但心中仍然很不愉快。雖然得到財物與防身及劈荊斬棘之用的斧頭，然而畢竟連個安身之所都沒有，再加諸先前所託非人，因此心中相當不悅。
5121122,56,旅,六五，射雉，一矢亡，終以譽命。,射雉雞，雖然射中了，但雉雞飛了，連箭也一起遺失。雖然沒有得到雉雞，又丟了一隻箭，但卻因此得到了獎賞。言所喪失的東西不多，但所得到的名聲卻很高。所損失者小，所獲得者多，塞翁失馬，焉知非福。
6121122,56,旅,上九，鳥焚其巢，旅人先笑後號咷，喪牛于易，凶。,鳥巢被焚毀，旅人先是大笑，而後號咷大哭。在「有易」這個地方喪失了牛，大凶。
1112112,57,巽,初六，進退，利武人之貞。,進退不果，宜於武人的堅定。意志不堅，心生懷疑，不夠果斷。反之對於武夫、軍人等意志較剛強的人而言則非常有利，因為這類型的人做事不會有猶疑不定的弊病。
2112112,57,巽,九二，巽在床下，用史巫紛若，吉，无咎。,拜伏於牀下，有如史巫一樣的祭禱，吉，沒有罪咎。此言謙卑而誠心的禱告，將得保祐而吉。
3112112,57,巽,九三，頻巽，吝。,憂愁的跪伏，吝。志短而心生憂戚，有志難伸。
4112112,57,巽,六四，悔亡，田獲三品。,不再後悔，打獵捕獲的獵物很多，足以做為三種品類的用途。心中陰霾盡去，心想事成，所求必得，可以成功。若是求財，則有大的收獲。
5112112,57,巽,九五，貞吉悔亡，无不利，无初有終，先庚三日，後庚三日，吉。,貞定則吉而不再後悔，無不利。沒有開始，卻有結果。庚日之前三天（丁日，丁寧的意思），庚日之後三天（癸日，揆度的意思），都是吉日。或言命令的變更施行，一定要審慎，前三天要就要開始準備與試行，施行之後三天還要持續追蹤與了解其施行的狀況。
6112112,57,巽,上九，巽在床下，喪其資斧，貞凶。,拜伏於牀下，喪失了財產與斧頭，堅定為凶。資斧象徵的是權力、權位，決斷的工具。喪失決斷工具，則不足以申命行權。
1211211,58,兌,初九，和兌，吉。,內心相應的談話，吉。和兌類似於「相談甚歡」的意思，言兩人對話彼此相應，非常和諧，所以為吉。
2211211,58,兌,九二，孚兌，吉，悔亡。,誠信交心的對話，吉，不會有後悔。
3211211,58,兌,六三，來兌，凶。,前來關說，凶。
4211211,58,兌,九四，商兌未寧，介疾有喜。,商量討論一直不定，與惡畫清界限則有喜。此言與人商討事情一直不順遂，無法有結果。若行事公正不偏，與不義畫清界線，則終有喜慶，表示商討可以有結果。反之，若有偏頗則有罪咎
5211211,58,兌,九五，孚于剝，有厲。,信於小人之邪道，有危險。
6211211,58,兌,上六，引兌。,引見而關說。這是屬於走後門的關說，不甚光明正大。爻辭未言吉凶，但於道德上並不洽當。
1112212,59,渙,初六，用拯馬壯，吉。,以強壯的馬來拯救，吉。在渙散初期，很容易拯救，更何況得到壯馬。
2112212,59,渙,九二，渙奔其机，悔亡。,渙散逃到一個可以倚身安歇的地方，不再後悔。
3112212,59,渙,六三，渙其躬，无悔。,自己逃難，無悔。
4112212,59,渙,六四，渙其群，元吉。渙有丘，匪夷所思。,解散其群眾，大吉。逃離到山丘，不是一般人所能想到的。
5112212,59,渙,九五，渙其汗，大號，渙王居，无咎。,危險的解除，有如發汗而讓人病癒，君王大舉號令天下，美煥其居所，煥然一新，沒有罪咎。
6112212,59,渙,上九，渙其血，去逖出，无咎。,流了血，災難過去，憂慮不在，沒有罪咎。此言險難已過，危險不在，不需再憂心。
1212211,60,節,初九，不出戶庭，无咎。,不出家中的門庭，沒有罪咎。前有危險阻塞，讓人無法前進。人之榮通本來就有個時機，現在既然處於阻塞不通的時候，就應當不出門戶，深居簡出，凡事簡單退守，則能免於罪咎。
2212211,60,節,九二，不出門庭，凶。,不出家中的門庭，凶。外面的危險與自己無關，則應當走出家門，但卻仍然深居簡出，不出門庭，節制太過，所以凶。
3212211,60,節,六三，不節若，則嗟若，无咎。,不節制，則哭泣，沒有罪咎。不知節制，則要後悔感嘆。此時處於應當節制的時候，若反而縱情肆欲，毫不節制，將會走入窮困，後悔莫及。
4212211,60,節,六四，安節，亨。,安於節制，可以亨通。能夠承受上司的節制，遵照與奉行上面的旨意而行事，謹守君臣之道，可以亨通。
5212211,60,節,九五，甘節，吉。往有尚。,甘於節制，對於節制甘之如飴，吉，前往可以有賞。
6212211,60,節,上六，苦節，貞凶，悔亡。,辛苦的節制，堅持則凶。不需後悔。
1112211,61,中孚,初九，虞吉，有它不燕。,用心專一則吉，心不專一、旁騖於他則不安。
2112211,61,中孚,九二，鳴鶴在陰，其子和之；我有好爵，吾與爾靡之。,母鶴在看不到的地方鳴叫，小鶴與其相呼應。我有好的酒杯，和你一起共飲美酒。此比喻人立心誠篤，就會得到感應與共鳴。就如母鶴與小鶴心靈可以相通，雖然在看不到的地方鳴叫，小鶴仍能以鳴聲與母鶴相呼應。
3112211,61,中孚,六三，得敵，或鼓或罷，或泣或歌。,樹立了敵人，讓人坐立難安，不知要進攻前進還是要停戰作罷；不知要悲哀地哭泣還是高歌一曲。
4112211,61,中孚,六四，月幾望，馬匹亡，无咎。,月亮就要變滿月了，馬匹卻丟失不見了，沒有罪咎。（月幾望為不利出征之象）
5112211,61,中孚,九五，有孚攣如，无咎。,以誠信相互提攜，沒有罪咎。此言彼此誠信相待，互相信任，能夠心手相連。
6112211,61,中孚,上九，翰音登于天，貞凶。,雞飛上天，堅定則凶。此言不要把反常的現象當做常態，以此為堅持當然為凶。
1221122,62,小過,初六，飛鳥以凶。,小過卦宜下不宜上，宜靜不宜動，初六卻反而振翅高飛，凶。
2221122,62,小過,六二，過其祖，遇其妣。不及其君，遇其臣，无咎。,越過了祖父，遇到了祖母。無法與君王會面，卻遇到了臣子。沒有罪咎。此言做事將受阻，或者與重要人物擦身而過，或者中途殺出程咬金，阻擋去路，因而無法成事，或因此無法找到想找的人。
3221122,62,小過,九三，弗過防之，從或戕之，凶。,無法通過，對他嚴加防備。放縱反而可能因此傷害於他，凶。
4221122,62,小過,九四，无咎，弗過遇之，往厲必戒，勿用永貞。,沒有罪咎。無法通過、躲過小人，只能與其相逢相遇。動身前往則必危險，應當戒之。不當永遠堅持於此。陽與陰互相靠近，但陽仍無法超過陰（喻指小人、女子）；前往必有危險，一定要心存戒心，絕不可聽從小人或女子。此事只能當做一時權宜之行事，千萬不要想要永遠堅持於此道。
5221122,62,小過,六五，密雲不雨，自我西郊，公弋取彼在穴。,烏雲密布卻不下雨，一直從西方的郊外聚集而來。主公射擊捕獲躲在洞中的小鳥。此段是意指小事可成，大事不可。
6221122,62,小過,上六，弗遇過之，飛鳥離之，凶，是謂災眚。,無法相遇而超過，高飛的小鳥遭網捕獲。凶，會有災難。
1212121,63,既濟,初九，曳其輪，濡其尾，无咎。,拉著車輪，沾溼了尾巴，沒有罪咎。車輪被陷住，無法前進。狐狸的尾巴被水沾濕，使其行動不便。然而由於謹慎小心，不輕舉妄動，所以無咎。
2212121,63,既濟,六二，婦喪其茀，勿逐，七日得。,婦人喪失了飾品，不必去追逐，失物七日自然回來。婦人，已嫁人者稱作婦。茀，音福，女子的頭飾，或者車子的蓬蓋。婦喪其茀，失去首飾或車子的蓬蓋，所以不能出行。
3212121,63,既濟,九三，高宗伐鬼方，三年克之，小人勿用。,高宗征伐鬼方，要三年才攻下。小人則無法承擔如此之重責大任。此比喻事情困難，只有有才德的君子，才堪此重任。即使如此，也要多年時間才得以完成。此亦告戒占者，當專心於內務，不要輕易往外征伐為宜。
4212121,63,既濟,六四，繻有衣袽，終日戒。,旅人在外，穿著衣服雖然破舊，但是鬼方還是會來偷竊，因此終日警戒。
5212121,63,既濟,九五，東鄰殺牛，不如西鄰之禴祭，實受其福。,東鄰殺牛很豐盛，但不如西鄰以簡單的禴祭實惠而能受到神的福祐。此亦告戒君子，除謹守簡約之道，凡事都要順應時機，誠心誠意。
6212121,63,既濟,上六，濡其首，厲。,弄濕了頭，危險。已到既濟的盡頭，時局將轉為不濟。不知深淵在前，而暴虎馮河，所以有濡首之象。注意有滅頂的危險。
1121212,64,未濟,初六，濡其尾，吝。,狐狸的尾巴被水沾濕，自取其濡（辱）。不知自己的極限、能耐，而遭此濡。
2121212,64,未濟,九二，曳其輪，貞吉。,車輪陷住，無法前進，貞定為吉。因禍得福。雖然車子出狀況，但正因為如此而不貿然前進，更加謹慎小心，衡量輕重，知所貞定而吉。
3121212,64,未濟,六三，未濟，征凶，利涉大川。,未得救濟，出征凶，利於涉險渡河。居於坎陷、危險的盡頭，水最深，必須倚賴大木才能渡水。自己能力不夠，如果貿然前進則有滅頂之患，征凶。
4121212,64,未濟,九四，貞吉，悔亡。震用伐鬼方，三年有賞于大國。,貞定則吉，免於後悔。振作而大舉征伐鬼方，必需花費三年時間才能攻下，然後受到大國的封賞。
5121212,64,未濟,六五，貞吉，无悔。君子之光，有孚，吉。,貞定則吉，免於後悔。君子的德性光暉，能夠打動人心而讓人信服，吉。
6121212,64,未濟,上九，有孚于飲酒，无咎。濡其首，有孚失是。,相信於飲食喝酒之宴樂，沒有罪咎。但若喝酒喝到頭都埋於酒中而濕了頭，那麼相信也將會失去這一切。未濟已過，將轉既濟。信於既濟（有孚），適度的飲酒逸樂無傷大雅，但告戒君子當有所節制，不能耽溺。
